지역,월,일시,시간,승차,하차,전체
경기도 고양시 덕양구 성사2동,1,주말,21시~22시,49 ,91 ,140 
경기도 고양시 덕양구 성사2동,1,주말,22시~23시,30 ,94 ,124 
경기도 고양시 덕양구 성사2동,1,주말,23시~24시,18 ,72 ,90 
경기도 고양시 덕양구 성사2동,1,주말,00시~01시,15 ,33 ,48 
경기도 고양시 덕양구 성사2동,1,주말,주간,755 ,900 ,1655 
경기도 고양시 덕양구 성사2동,1,주말,전일,969 ,1397 ,2366 
경기도 고양시 덕양구 효자동,1,평일,05시~06시,8 ,7 ,15 
경기도 고양시 덕양구 효자동,1,평일,06시~07시,30 ,57 ,87 
경기도 고양시 덕양구 효자동,1,평일,07시~08시,52 ,143 ,195 
경기도 고양시 덕양구 효자동,1,평일,08시~09시,68 ,184 ,252 
경기도 고양시 덕양구 효자동,1,평일,09시~10시,31 ,80 ,111 
경기도 고양시 덕양구 효자동,1,평일,10시~11시,39 ,71 ,110 
경기도 고양시 덕양구 효자동,1,평일,11시~12시,37 ,57 ,94 
경기도 고양시 덕양구 효자동,1,평일,12시~13시,34 ,63 ,97 
경기도 고양시 덕양구 효자동,1,평일,13시~14시,47 ,54 ,101 
경기도 고양시 덕양구 효자동,1,평일,14시~15시,56 ,34 ,90 
경기도 고양시 덕양구 효자동,1,평일,15시~16시,78 ,37 ,115 
경기도 고양시 덕양구 효자동,1,평일,16시~17시,108 ,36 ,144 
경기도 고양시 덕양구 효자동,1,평일,17시~18시,108 ,46 ,154 
경기도 고양시 덕양구 효자동,1,평일,18시~19시,156 ,47 ,203 
경기도 고양시 덕양구 효자동,1,평일,19시~20시,134 ,38 ,172 
경기도 고양시 덕양구 효자동,1,평일,20시~21시,112 ,16 ,128 
경기도 고양시 덕양구 효자동,1,평일,21시~22시,75 ,16 ,91 
경기도 고양시 덕양구 효자동,1,평일,22시~23시,57 ,11 ,68 
경기도 고양시 덕양구 효자동,1,평일,23시~24시,16 ,3 ,19 
경기도 고양시 덕양구 효자동,1,평일,주간,814 ,852 ,1666 
경기도 고양시 덕양구 효자동,1,평일,전일,1246 ,1000 ,2246 
경기도 고양시 덕양구 효자동,1,주말,06시~07시,17 ,31 ,48 
경기도 고양시 덕양구 효자동,1,주말,07시~08시,28 ,51 ,79 
경기도 고양시 덕양구 효자동,1,주말,08시~09시,39 ,73 ,112 
경기도 고양시 덕양구 효자동,1,주말,09시~10시,35 ,77 ,112 
경기도 고양시 덕양구 효자동,1,주말,10시~11시,53 ,142 ,195 
경기도 고양시 덕양구 효자동,1,주말,11시~12시,62 ,95 ,157 
경기도 고양시 덕양구 효자동,1,주말,12시~13시,33 ,59 ,92 
경기도 고양시 덕양구 효자동,1,주말,13시~14시,54 ,50 ,104 
경기도 고양시 덕양구 효자동,1,주말,14시~15시,75 ,60 ,135 
경기도 고양시 덕양구 효자동,1,주말,15시~16시,96 ,63 ,159 
경기도 고양시 덕양구 효자동,1,주말,16시~17시,88 ,40 ,128 
경기도 고양시 덕양구 효자동,1,주말,17시~18시,104 ,78 ,182 
경기도 고양시 덕양구 효자동,1,주말,18시~19시,88 ,45 ,133 
경기도 고양시 덕양구 효자동,1,주말,19시~20시,63 ,28 ,91 
경기도 고양시 덕양구 효자동,1,주말,20시~21시,56 ,14 ,70 
경기도 고양시 덕양구 효자동,1,주말,21시~22시,65 ,15 ,80 
경기도 고양시 덕양구 효자동,1,주말,22시~23시,37 ,12 ,49 
경기도 고양시 덕양구 효자동,1,주말,23시~24시,18 ,2 ,20 
경기도 고양시 덕양구 효자동,1,주말,주간,755 ,833 ,1588 
경기도 고양시 덕양구 효자동,1,주말,전일,1011 ,935 ,1946 
경기도 고양시 덕양구 창릉동,1,평일,04시~05시,1 ,-,1 
경기도 고양시 덕양구 창릉동,1,평일,05시~06시,4 ,3 ,7 
