업종명,업소명,업소소재지(도로명),업소소재지(지번),소재지전화
이용업,엑스포,경기도 고양시 일산서구 현중로26번길 7-2 (탄현동),경기도 고양시 일산서구 탄현동 1494번지 12호   , 031- 918-1677
이용업,썬,"경기도 고양시 일산서구 현중로 71, 지하103,104호 (탄현동, 탄현마을5단지 상가동)",경기도 고양시 일산서구 탄현동 1477번지  탄현마을5단지 상가동 지하103호, 031- 916-6166
이용업,중앙,경기도 고양시 일산서구 현중로36번길 4 (탄현동),경기도 고양시 일산서구 탄현동 1493번지 1호   , 031- 915-7753
이용업,천미,"경기도 고양시 일산서구 주엽로 102, 204호 (주엽동, 문촌마을17단지 상가동)",경기도 고양시 일산서구 주엽동 120번지  문촌마을17단지 상가동 204호, 031- 915-7216
이용업,혜성이용원,"경기도 고양시 일산동구 일산로428번길 14-14, 지층호 (정발산동)",경기도 고양시 일산동구 정발산동 1219번지 3호   지층호, 031- 915-6361
이용업,경기이발샵,"경기도 고양시 일산서구 현중로 62, 지층4호 (탄현동, 탄현마을6단지 상가동)",경기도 고양시 일산서구 탄현동 1479번지  탄현마을6단지 상가동 지층4호, 031- 915-2713
이용업,서울,"경기도 고양시 일산서구 주화로 5, 208호 (주엽동, 강선마을16단지 상가동)",경기도 고양시 일산서구 주엽동 86번지  강선마을16단지 상가동 208호, 031- 915-1233
이용업,탄현탕 내 이용원,"경기도 고양시 일산서구 탄중로233번길 25 (탄현동, 양우프라자 지하201호)",경기도 고양시 일산서구 탄현동 1490번지 1호  양우프라자 지하201호 , 031- 914-4786
이용업,금호,"경기도 고양시 일산서구 후곡로 32, 205호 (일산동, 후곡마을4단지 상가동)",경기도 고양시 일산서구 일산동 1066번지  후곡마을4단지 상가동 205호, 031- 913-9332
이용업,동익,"경기도 고양시 일산서구 대산로 251 (대화동, 성저마을1단지상가동 지층)",경기도 고양시 일산서구 대화동 2212번지  성저마을1단지상가동 지층 , 031- 913-7694
이용업,대진이용원,경기도 고양시 일산서구 일산로695번길 6-24 (대화동),경기도 고양시 일산서구 대화동 2138번지 1호   , 031- 913-7535
이용업,강선,"경기도 고양시 일산서구 강선로 67, 207호 (주엽동, 강선마을7단지 상가동)",경기도 고양시 일산서구 주엽동 65번지  강선마을7단지 상가동 207호, 031- 913-6203
이용업,금호이용원,"경기도 고양시 일산서구 대산로 103 (주엽동, 강선마을6단지상가동 지하1층6호)",경기도 고양시 일산서구 주엽동 50번지  강선마을6단지상가동 지하1층6호 , 031- 913-3321
이용업,월드 이용원,"경기도 고양시 일산서구 고양대로 618 (일산동,풍원리빙프라자 120호)",경기도 고양시 일산서구 일산동 957번지 3호  풍원리빙프라자 120호 , 031- 913-2760
이용업,동아,"경기도 고양시 일산서구 강선로 137, 지하10,11호 (일산동, 후곡마을16단지 상가동)","경기도 고양시 일산서구 일산동 1086번지  후곡마을16단지 상가동 지하10,호", 031- 912-3543
이용업,새한이용원,"경기도 고양시 일산서구 일현로 140, 204호 (탄현동, 큰마을대림현대아파트 상가동)",경기도 고양시 일산서구 탄현동 121번지  큰마을대림현대아파트 상가동 204호, 031- 912-2928
이용업,대화이용원,"경기도 고양시 일산서구 고양대로255번길 64 (대화동,외 3필지)",경기도 고양시 일산서구 대화동 867번지 3호  외 3필지 , 031- 911-1158
이용업,화성,"경기도 고양시 일산서구 강성로 58 (주엽동, 강선마을9단지상가동 2층5호)",경기도 고양시 일산서구 주엽동 60번지  강선마을9단지상가동 2층5호 , 031- 911-0359
이용업,우신이용원,"경기도 고양시 일산동구 장백로 184, 115호 (장항동, 우신프라자)",경기도 고양시 일산동구 장항동 895번지 1호  우신프라자 115호, 031- 908-4645
이용업,탑이용원,"경기도 고양시 일산동구 강송로 115, 1층 113호 (백석동, 중앙상가)",경기도 고양시 일산동구 백석동 1225번지  외 1필지 중앙상가 1층 113호 , 031- 907-6442
이용업,동궁사우나내커트실,"경기도 고양시 일산동구 중앙로 1123 (백석동,청구코아 지하1층)",경기도 고양시 일산동구 백석동 1351번지  청구코아 지하1층 , 031- 907-5090
이용업,고밀도 컷트의집,"경기도 고양시 일산동구 백석로 24, 상가동 B101호 (백석동, 흰돌마을)",경기도 고양시 일산동구 백석동 1349번지  흰돌마을 상가동 B101호, 031- 906-6683
이용업,길손이용원,"경기도 고양시 일산동구 백석로72번길 5-4, 지층 일부호 (백석동)",경기도 고양시 일산동구 백석동 1276번지 2호   지층 일부호, 031- 906-4826
이용업,현대이용원,"경기도 고양시 일산동구 강송로 197, 상가동 210호 (마두동)",경기도 고양시 일산동구 마두동 794번지  강촌마을 상가동 210호, 031- 906-4159
이용업,깍까볼까,"경기도 고양시 일산동구 호수로446번길 43, 1층 일부호 (백석동)",경기도 고양시 일산동구 백석동 1450번지 8호   1층 일부호, 031- 905-7127
이용업,라이프,"경기도 고양시 일산동구 강석로 108, 라이프상가동 지층 일부호 (마두동)",경기도 고양시 일산동구 마두동 789번지  강촌마을 라이프상가동 지층 일부호, 031- 905-0344
이용업,청구이용원,"경기도 고양시 일산동구 노루목로 107, 비123호 (장항동, 호수마을상가동 )",경기도 고양시 일산동구 장항동 883번지  호수마을상가동 비123호, 031- 904-8604
이용업,신세계,"경기도 고양시 일산동구 강송로 167, 지층 일부호 (마두동)",경기도 고양시 일산동구 마두동 785번지 2호   지층 일부호, 031- 904-6618
이용업,문화 ,"경기도 고양시 일산동구 강송로74번길 29-11, 1층 일부호 (백석동)",경기도 고양시 일산동구 백석동 1171번지   , 031- 904-4948
