업종명,업소명,소재지(도로명),소재지(지번),소재지전화
단란주점,하트 단란주점,"경기도 고양시 일산동구 무궁화로 31-16 (장항동, 남정시티프라자 8차 304호)",경기도 고양시 일산동구 장항동 733번지 2호 남정시티프라자 8차 304호 ,
단란주점,아모르파티,"경기도 고양시 덕양구 통일로770번길 12, 2(일부)층 (관산동)",경기도 고양시 덕양구 관산동 181번지 20호  ,
단란주점,쏘락노래타운,"경기도 고양시 일산동구 무궁화로 25-3 (장항동,이레21Ⅱ빌딩 307호)",경기도 고양시 일산동구 장항동 741번지 3호 이레21Ⅱ빌딩 307호 ,
단란주점,베네치아 노래뮤직,"경기도 고양시 일산동구 무궁화로 25-3 (장항동, 이레21, 11빌딩 503호)","경기도 고양시 일산동구 장항동 741번지 3호 이레21, 11빌딩 503호 ",
단란주점,램프노래단란주점,"경기도 고양시 일산동구 무궁화로 34, 209호 (장항동, 남정씨티프라자Ⅱ )",경기도 고양시 일산동구 장항동 778번지 2호 남정씨티프라자Ⅱ 209호,
단란주점,스타,"경기도 고양시 일산동구 고봉로 32-19 (장항동, 남정씨티프라자 7차 207호, 208호)","경기도 고양시 일산동구 장항동 731번지 2호 남정씨티프라자 7차 207호, 208호 ",
단란주점,샤로티넬노래바,"경기도 고양시 일산동구 고봉로 26-32 (장항동,외1필지 양우로데오랜드C동 203호)",경기도 고양시 일산동구 장항동 740번지 5호 외1필지 양우로데오랜드C동 203호 ,
단란주점,퀸,"경기도 고양시 덕양구 마상로134번길 71, 지하1(일부)층 (주교동)",경기도 고양시 덕양구 주교동 613번지 13호 지하1(일부)층 ,031 -902 -4758
단란주점,올라고,"경기도 고양시 일산동구 정발산로 15, 2층 206호, 207-1호 (장항동, 드림월드빌딩)","경기도 고양시 일산동구 장항동 863번지 1호 드림월드빌딩 206,207-1호 ",031 -906 -2620
단란주점,벤츠단란주점,"경기도 고양시 일산동구 무궁화로 31-16, 202호 (장항동, 남정시티프라자8차)",경기도 고양시 일산동구 장항동 733번지 2호 남정시티프라자8차 202호,031 -911 -1784
단란주점,렉서스단란주점,"경기도 고양시 일산동구 무궁화로 31-13, 402호 (장항동, 로데오휠)",경기도 고양시 일산동구 장항동 735번지 1호 로데오휠 402호 ,031 -911 -2428
단란주점,수 노래타운,"경기도 고양시 일산동구 무궁화로 25-3 (장항동, 이레21 11빌딩, 407호)","경기도 고양시 일산동구 장항동 741번지 3호 이레21 11빌딩, 407호 ",031 -921 -1014
단란주점,벤치7080,"경기도 고양시 덕양구 호국로790번길 6 (성사동, 지하1층일부)",경기도 고양시 덕양구 성사동 698번지 1호 지하1층일부 ,031 -938 -7080
단란주점,7080메들리,경기도 고양시 덕양구 통일로 785 (관산동),경기도 고양시 덕양구 관산동 236번지 1호  ,031 -962 -0442
단란주점,달빛소나타,"경기도 고양시 덕양구 호국로 773 (주교동, 코스모프라자빌딩 402호 일부)",경기도 고양시 덕양구 주교동 609번지 3호 코스모프라자빌딩 402호 일부 ,031 -965 -1599
