등록일자,업종,상호,소재지(도로명),
2016-05-03,국외여행업,여행캠프,"경기도 고양시 일산동구 무궁화로 32-12, e동 4층 401호 (장항동, 라페스타E)",
2016-11-22,국외여행업,탑비자여행사,"경기도 고양시 일산동구 장백로 194, 805,806(B03)호 (장항동, 위너스21)",
2016-12-02,국외여행업,주식회사 거인투어,"경기도 고양시 일산동구 무궁화로 42-38, 범진빌딩 406호 (장항동)",
2001-12-20,국외여행업,(주)위크엔드여행사,"경기도 고양시 일산서구 중앙로 1388, 3층 319-2호 (주엽동, 태영프라자)",
2017-02-13,국외여행업,주식회사 엠씨케이(MCK),"경기도 고양시 덕양구 권율대로 894, 703호 (신원동, 새한일프라자)",
2012-01-04,국외여행업,(주)렛츠고 투어,"경기도 고양시 덕양구 백양로 79, 1층 (화정동, 이마트)",
2014-04-16,국외여행업,(주)에듀비전,"경기도 고양시 일산동구 정발산로 24, 8층 T1-814호 (장항동, 웨스턴돔1)",
2017-03-16,국외여행업,딜라앤여행,"경기도 고양시 일산동구 일산로 46, 209호 (백석동, 남정씨티프라자)",
2017-03-23,국외여행업,노마드클럽 여행사,"경기도 고양시 일산서구 일산로 774, 201호 (대화동, 리더스프라자2)",
2017-05-17,국외여행업,코쿠,"경기도 고양시 일산동구 고봉로 270, 2층 (중산동, 좌측)",
2017-05-22,국외여행업,일산마두탑항공,"경기도 고양시 일산동구 중앙로 1189, 503호 (장항동, GM굿모닝 법조타운)",
2017-05-22,국외여행업,e일산마두탑항공,"경기도 고양시 일산동구 중앙로 1189, 503호 (장항동, GM굿모닝 법조타운)",
2017-07-03,국외여행업,플라이투어,"경기도 고양시 일산동구 중앙로 1036 (백석동, 베스트 고양터미널)",
2017-07-14,국외여행업,트립포미(TRIP FOR ME),"경기도 고양시 일산동구 중앙로1275번길 86-1, 중앙 하이츠빌 1214호 (장항동)",
2017-07-28,국외여행업,씨엘투어(CL TOUR),"경기도 고양시 덕양구 푸른마을로 6, 1층 123호 (고양동, 고양 e PLAZA)",
2017-09-07,국외여행업,잠자리날개,"경기도 고양시 일산동구 중앙로 1227, 209-2호 (장항동, 동양메이저빌오피스텔)",
2012-10-25,국외여행업,오케이버디,경기도 고양시 덕양구 도래울2로 9-1 (도내동),
