시설번호,놀이시설명,우편번호,주 소,설치일자,설치장소,운영구분,지역분류,민공구분
518313,사리현동문아파트3단지 302동 옆 놀이터,10261,"경기도 고양시 일산동구 공릉천로 66 (사리현동, 동문아파트)",2004-11-14,주택단지,운영,경기 고양시 일산동구 사리현동,민간
518326,호수마을1단지 대우아파트 101동 102동사이 놀이터,10422,"경기도 고양시 일산동구 중앙로 1129 (장항동, 호수마을1단지아파트)",2004-12-01,주택단지,운영,경기 고양시 일산동구 장항동,민간
518327,호수마을1단지 대우아파트 103동 옆 놀이터,10422,"경기도 고양시 일산동구 중앙로 1129 (장항동, 호수마을1단지아파트)",2004-12-01,주택단지,운영,경기 고양시 일산동구 장항동,민간
518328,호수마을2단지 현대아파트 207동 옆,10423,경기도 고양시 일산동구 노루목로 104 (장항동),1994-01-01,주택단지,운영,경기 고양시 일산동구 장항동,민간
518329,호수마을2단지 현대아파트 203동 옆 놀이터,10423,경기도 고양시 일산동구 노루목로 104 (장항동),1994-01-01,주택단지,운영,경기 고양시 일산동구 장항동,민간
518330,호수마을2단지 현대아파트 211동 옆 놀이터,10423,경기도 고양시 일산동구 노루목로 104 (장항동),1994-01-01,주택단지,운영,경기 고양시 일산동구 장항동,민간
518331,호수마을2단지 현대아파트 215동 옆 놀이터,10423,경기도 고양시 일산동구 노루목로 104 (장항동),1994-01-01,주택단지,운영,경기 고양시 일산동구 장항동,민간
518332,"호수마을3단지 유원삼환아파트 놀이터1(301도,302동)",10423,"경기도 고양시 일산동구 노루목로 80 (장항동, 호수마을3단지아파트)",1994-01-01,주택단지,운영,경기 고양시 일산동구 장항동,민간
518334,"호수마을3단지 유원삼환아파트 놀이터2(307동,308동)",10423,"경기도 고양시 일산동구 노루목로 80 (장항동, 호수마을3단지아파트)",1994-01-01,주택단지,운영,경기 고양시 일산동구 장항동,민간
518335,"호수마을3단지 유원삼환아파트 놀이터3(315동,316동)",10423,"경기도 고양시 일산동구 노루목로 80 (장항동, 호수마을3단지아파트)",1994-01-01,주택단지,운영,경기 고양시 일산동구 장항동,민간
518345,밤가시건영7단지아파트 어린이놀이터(관리동옆),10358,"경기도 고양시 일산동구 산두로 180 (정발산동, 밤가시마을건영빌라7단지)",1996-01-01,주택단지,운영,경기 고양시 일산동구 정발산동,민간
518346,밤가시건영7단지아파트 어린이놀이터(701동앞),10358,"경기도 고양시 일산동구 산두로 180 (정발산동, 밤가시마을건영빌라7단지)",1996-01-01,주택단지,운영,경기 고양시 일산동구 정발산동,민간
518347,양지마을1단지 건영아파트 107동 옆 놀이터,10404,"경기도 고양시 일산동구 무궁화로76번길 12 (정발산동, 양지마을1단지건영빌라)",1995-06-20,주택단지,운영,경기 고양시 일산동구 정발산동,민간
518349,산들마을2단지대림아파트제1어린이놀이터,10338,"경기도 고양시 일산동구 고봉로278번길 17 (중산동, 산들마을2단지아파트)",2002-01-01,주택단지,운영,경기 고양시 일산동구 중산동,민간
518351,산들마을2단지대림아파트제2어린이놀이터,10338,"경기도 고양시 일산동구 고봉로278번길 17 (중산동, 산들마을2단지아파트)",2002-01-01,주택단지,운영,경기 고양시 일산동구 중산동,민간
518354,중산마을8단지 대우삼성아파트 804동 옆 놀이터,10333,"경기도 고양시 일산동구 탄중로 398 (중산동, 중산마을8단지아파트)",1995-01-01,주택단지,운영,경기 고양시 일산동구 중산동,민간
518355,중산마을8단지 대우삼성아파트 802동 옆 놀이터,10333,"경기도 고양시 일산동구 탄중로 398 (중산동, 중산마을8단지아파트)",1995-01-01,주택단지,운영,경기 고양시 일산동구 중산동,민간
518363,중산마을2단지 코오롱아파트 207동 옆 놀이터,10336,경기도 고양시 일산동구 중산로 253 (중산동),1995-10-30,주택단지,운영,경기 고양시 일산동구 중산동,민간
518364,중산마을2단지 코오롱아파트 209동 옆 놀이터,10336,경기도 고양시 일산동구 중산로 253 (중산동),1995-10-30,주택단지,운영,경기 고양시 일산동구 중산동,민간
518365,중산마을2단지 코오롱아파트 214동 옆 놀이터,10336,경기도 고양시 일산동구 중산로 253 (중산동),1995-10-30,주택단지,운영,경기 고양시 일산동구 중산동,민간
518366,하늘마을1단지 주공아파트 107동 옆 놀이터 놀이터,10355,경기도 고양시 일산동구 중산로 99 (중산동),2007-01-01,주택단지,이용금지,경기 고양시 일산동구 중산동,민간
